Average,L1
462.000000,   462
470.000000,   470
448.000000,   448
456.000000,   456
466.000000,   466
474.000000,   474
459.000000,   459
461.000000,   461
477.000000,   477
468.000000,   468
461.000000,   461
470.000000,   470
484.000000,   484
471.000000,   471
481.000000,   481
477.000000,   477
468.000000,   468
471.000000,   471
472.000000,   472
464.000000,   464
468.000000,   468
477.000000,   477
480.000000,   480
478.000000,   478
476.000000,   476
484.000000,   484
478.000000,   478
482.000000,   482
472.000000,   472
478.000000,   478
471.000000,   471
473.000000,   473
481.000000,   481
471.000000,   471
469.000000,   469
473.000000,   473
480.000000,   480
487.000000,   487
482.000000,   482
469.000000,   469
466.000000,   466
471.000000,   471
474.000000,   474
470.000000,   470
479.000000,   479
460.000000,   460
478.000000,   478
476.000000,   476
457.000000,   457
478.000000,   478
475.000000,   475
470.000000,   470
474.000000,   474
463.000000,   463
474.000000,   474
479.000000,   479
473.000000,   473
473.000000,   473
473.000000,   473
477.000000,   477
478.000000,   478
482.000000,   482
476.000000,   476
481.000000,   481
474.000000,   474
481.000000,   481
482.000000,   482
465.000000,   465
479.000000,   479
477.000000,   477
477.000000,   477
465.000000,   465
468.000000,   468
475.000000,   475
463.000000,   463
488.000000,   488
465.000000,   465
462.000000,   462
473.000000,   473
485.000000,   485
478.000000,   478
479.000000,   479
481.000000,   481
486.000000,   486
487.000000,   487
469.000000,   469
473.000000,   473
467.000000,   467
479.000000,   479
476.000000,   476
476.000000,   476
479.000000,   479
477.000000,   477
474.000000,   474
466.000000,   466
471.000000,   471
469.000000,   469
473.000000,   473
488.000000,   488
468.000000,   468
486.000000,   486
469.000000,   469
467.000000,   467
480.000000,   480
482.000000,   482
471.000000,   471
474.000000,   474
475.000000,   475
479.000000,   479
477.000000,   477
476.000000,   476
467.000000,   467
470.000000,   470
482.000000,   482
471.000000,   471
470.000000,   470
475.000000,   475
472.000000,   472
472.000000,   472
480.000000,   480
481.000000,   481
461.000000,   461
488.000000,   488
484.000000,   484
476.000000,   476
484.000000,   484
480.000000,   480
477.000000,   477
476.000000,   476
489.000000,   489
478.000000,   478
486.000000,   486
486.000000,   486
487.000000,   487
468.000000,   468
489.000000,   489
487.000000,   487
490.000000,   490
492.000000,   492
474.000000,   474
487.000000,   487
476.000000,   476
481.000000,   481
470.000000,   470
481.000000,   481
473.000000,   473
476.000000,   476
468.000000,   468
475.000000,   475
486.000000,   486
488.000000,   488
480.000000,   480
470.000000,   470
479.000000,   479
476.000000,   476
481.000000,   481
474.000000,   474
483.000000,   483
485.000000,   485
477.000000,   477
490.000000,   490
473.000000,   473
472.000000,   472
482.000000,   482
475.000000,   475
474.000000,   474
487.000000,   487
472.000000,   472
494.000000,   494
480.000000,   480
473.000000,   473
474.000000,   474
490.000000,   490
485.000000,   485
483.000000,   483
484.000000,   484
486.000000,   486
492.000000,   492
482.000000,   482
480.000000,   480
494.000000,   494
494.000000,   494
493.000000,   493
488.000000,   488
481.000000,   481
473.000000,   473
493.000000,   493
487.000000,   487
486.000000,   486
478.000000,   478
491.000000,   491
476.000000,   476
477.000000,   477
476.000000,   476
485.000000,   485
482.000000,   482
489.000000,   489
482.000000,   482
476.000000,   476
478.000000,   478
487.000000,   487
480.000000,   480
476.000000,   476
487.000000,   487
477.000000,   477
476.000000,   476
480.000000,   480
470.000000,   470
492.000000,   492
486.000000,   486
479.000000,   479
468.000000,   468
471.000000,   471
477.000000,   477
472.000000,   472
478.000000,   478
469.000000,   469
461.000000,   461
481.000000,   481
460.000000,   460
482.000000,   482
474.000000,   474
481.000000,   481
477.000000,   477
478.000000,   478
459.000000,   459
485.000000,   485
471.000000,   471
470.000000,   470
481.000000,   481
472.000000,   472
470.000000,   470
471.000000,   471
468.000000,   468
472.000000,   472
471.000000,   471
469.000000,   469
475.000000,   475
472.000000,   472
471.000000,   471
467.000000,   467
458.000000,   458
460.000000,   460
453.000000,   453
461.000000,   461
466.000000,   466
463.000000,   463
463.000000,   463
460.000000,   460
470.000000,   470
465.000000,   465
455.000000,   455
451.000000,   451
448.000000,   448
454.000000,   454
459.000000,   459
458.000000,   458
474.000000,   474
462.000000,   462
466.000000,   466
449.000000,   449
453.000000,   453
449.000000,   449
444.000000,   444
447.000000,   447
454.000000,   454
464.000000,   464
450.000000,   450
