Type:,WAVELENGH DATA FILE
Exposure Time:,10 m.Sec
Gain:,1
Offset:,10
Line Count:,1


Pixel No,WaveLength(nm),Average,L1
736,944805.789,738.000000,   738
737,948623.222,749.000000,   749
738,952450.926,747.000000,   747
739,956288.914,741.000000,   741
740,960137.200,753.000000,   753
741,963995.798,750.000000,   750
742,967864.722,739.000000,   739
743,971743.986,751.000000,   751
744,975633.603,752.000000,   752
745,979533.588,742.000000,   742
746,983443.953,727.000000,   727
747,987364.713,744.000000,   744
748,991295.882,766.000000,   766
749,995237.473,744.000000,   744
750,999189.500,753.000000,   753
751,1003151.977,732.000000,   732
752,1007124.918,748.000000,   748
753,1011108.337,746.000000,   746
754,1015102.247,748.000000,   748
755,1019106.662,753.000000,   753
756,1023121.597,763.000000,   763
757,1027147.064,747.000000,   747
758,1031183.078,740.000000,   740
759,1035229.652,737.000000,   737
760,1039286.800,732.000000,   732
761,1043354.536,738.000000,   738
762,1047432.874,731.000000,   731
763,1051521.828,757.000000,   757
764,1055621.411,753.000000,   753
765,1059731.638,739.000000,   739
766,1063852.521,735.000000,   735
767,1067984.075,735.000000,   735
768,1072126.314,729.000000,   729
769,1076279.251,728.000000,   728
770,1080442.900,740.000000,   740
771,1084617.275,750.000000,   750
772,1088802.390,751.000000,   751
773,1092998.259,742.000000,   742
774,1097204.895,748.000000,   748
775,1101422.313,752.000000,   752
776,1105650.525,745.000000,   745
777,1109889.546,755.000000,   755
778,1114139.390,744.000000,   744
779,1118400.070,752.000000,   752
780,1122671.600,744.000000,   744
781,1126953.994,746.000000,   746
782,1131247.266,749.000000,   749
783,1135551.430,743.000000,   743
784,1139866.499,754.000000,   754
785,1144192.487,743.000000,   743
786,1148529.409,728.000000,   728
787,1152877.277,755.000000,   755
788,1157236.106,737.000000,   737
789,1161605.909,751.000000,   751
790,1165986.700,743.000000,   743
791,1170378.493,740.000000,   740
792,1174781.302,749.000000,   749
793,1179195.141,733.000000,   733
794,1183620.023,737.000000,   737
795,1188055.962,744.000000,   744
796,1192502.973,735.000000,   735
797,1196961.068,741.000000,   741
798,1201430.262,747.000000,   747
799,1205910.568,744.000000,   744
800,1210402.000,753.000000,   753
801,1214904.572,735.000000,   735
802,1219418.298,743.000000,   743
803,1223943.192,743.000000,   743
804,1228479.267,736.000000,   736
805,1233026.538,743.000000,   743
806,1237585.017,744.000000,   744
807,1242154.719,749.000000,   749
808,1246735.658,734.000000,   734
809,1251327.847,732.000000,   732
810,1255931.300,741.000000,   741
811,1260546.031,734.000000,   734
812,1265172.054,735.000000,   735
813,1269809.383,749.000000,   749
814,1274458.031,738.000000,   738
815,1279118.013,741.000000,   741
816,1283789.341,739.000000,   739
817,1288472.030,755.000000,   755
818,1293166.094,755.000000,   755
819,1297871.546,738.000000,   738
820,1302588.400,749.000000,   749
821,1307316.670,747.000000,   747
822,1312056.370,734.000000,   734
823,1316807.514,741.000000,   741
824,1321570.115,734.000000,   734
825,1326344.188,742.000000,   742
826,1331129.745,739.000000,   739
827,1335926.801,742.000000,   742
828,1340735.370,736.000000,   736
829,1345555.465,744.000000,   744
830,1350387.100,729.000000,   729
831,1355230.289,737.000000,   737
832,1360085.046,737.000000,   737
833,1364951.385,751.000000,   751
834,1369829.319,739.000000,   739
835,1374718.862,742.000000,   742
836,1379620.029,739.000000,   739
837,1384532.832,723.000000,   723
838,1389457.286,749.000000,   749
839,1394393.404,739.000000,   739
840,1399341.200,736.000000,   736
841,1404300.688,732.000000,   732
842,1409271.882,743.000000,   743
843,1414254.796,755.000000,   755
844,1419249.443,740.000000,   740
845,1424255.837,754.000000,   754
846,1429273.993,737.000000,   737
847,1434303.923,746.000000,   746
848,1439345.642,745.000000,   745
849,1444399.163,741.000000,   741
850,1449464.500,736.000000,   736
851,1454541.667,746.000000,   746
852,1459630.678,744.000000,   744
853,1464731.547,753.000000,   753
854,1469844.287,747.000000,   747
855,1474968.912,757.000000,   757
856,1480105.437,736.000000,   736
857,1485253.874,744.000000,   744
858,1490414.238,731.000000,   731
859,1495586.542,733.000000,   733
860,1500770.800,737.000000,   737
861,1505967.026,732.000000,   732
862,1511175.234,740.000000,   740
863,1516395.438,742.000000,   742
864,1521627.651,749.000000,   749
865,1526871.888,742.000000,   742
866,1532128.161,744.000000,   744
867,1537396.485,744.000000,   744
868,1542676.874,740.000000,   740
869,1547969.341,740.000000,   740
870,1553273.900,741.000000,   741
871,1558590.565,750.000000,   750
872,1563919.350,744.000000,   744
873,1569260.269,741.000000,   741
874,1574613.335,742.000000,   742
875,1579978.563,747.000000,   747
876,1585355.965,743.000000,   743
877,1590745.556,742.000000,   742
878,1596147.350,728.000000,   728
879,1601561.360,735.000000,   735
880,1606987.600,734.000000,   734
881,1612426.084,735.000000,   735
882,1617876.826,741.000000,   741
883,1623339.840,738.000000,   738
884,1628815.139,732.000000,   732
885,1634302.737,745.000000,   745
886,1639802.649,734.000000,   734
887,1645314.887,738.000000,   738
888,1650839.466,731.000000,   731
889,1656376.399,748.000000,   748
890,1661925.700,748.000000,   748
891,1667487.383,745.000000,   745
892,1673061.462,742.000000,   742
893,1678647.951,727.000000,   727
894,1684246.863,741.000000,   741
895,1689858.213,735.000000,   735
896,1695482.013,738.000000,   738
897,1701118.278,738.000000,   738
898,1706767.022,739.000000,   739
899,1712428.258,734.000000,   734
900,1718102.000,722.000000,   722
901,1723788.262,727.000000,   727
902,1729487.058,747.000000,   747
903,1735198.402,746.000000,   746
904,1740922.307,726.000000,   726
905,1746658.788,743.000000,   743
