Type:,WAVELENGH DATA FILE
Exposure Time:,10 m.Sec
Gain:,1
Offset:,10
Line Count:,1


Pixel No,WaveLength(nm),Average,L1
504,2509.999,174.000000,   174
505,2501.146,181.000000,   181
506,2492.315,171.000000,   171
507,2483.507,172.000000,   172
508,2474.721,176.000000,   176
509,2465.957,173.000000,   173
510,2457.216,173.000000,   173
511,2448.498,175.000000,   175
512,2439.801,177.000000,   177
513,2431.127,168.000000,   168
514,2422.475,173.000000,   173
515,2413.845,170.000000,   170
516,2405.238,169.000000,   169
517,2396.653,168.000000,   168
518,2388.090,173.000000,   173
519,2379.549,172.000000,   172
520,2371.030,186.000000,   186
521,2362.533,180.000000,   180
522,2354.058,175.000000,   175
523,2345.605,182.000000,   182
524,2337.174,170.000000,   170
525,2328.766,178.000000,   178
526,2320.379,165.000000,   165
527,2312.014,176.000000,   176
528,2303.671,169.000000,   169
529,2295.349,177.000000,   177
530,2287.050,167.000000,   167
531,2278.772,181.000000,   181
532,2270.517,180.000000,   180
533,2262.283,178.000000,   178
534,2254.070,174.000000,   174
535,2245.880,171.000000,   171
536,2237.711,173.000000,   173
537,2229.564,179.000000,   179
538,2221.438,172.000000,   172
539,2213.334,174.000000,   174
540,2205.251,176.000000,   176
541,2197.191,176.000000,   176
542,2189.151,166.000000,   166
543,2181.133,177.000000,   177
544,2173.137,173.000000,   173
545,2165.162,181.000000,   181
546,2157.208,178.000000,   178
547,2149.276,172.000000,   172
548,2141.365,175.000000,   175
549,2133.476,172.000000,   172
550,2125.608,181.000000,   181
551,2117.761,176.000000,   176
552,2109.935,184.000000,   184
553,2102.131,169.000000,   169
554,2094.348,175.000000,   175
555,2086.586,175.000000,   175
556,2078.845,171.000000,   171
557,2071.125,169.000000,   169
558,2063.427,172.000000,   172
559,2055.749,176.000000,   176
560,2048.093,166.000000,   166
561,2040.458,166.000000,   166
562,2032.843,172.000000,   172
563,2025.250,182.000000,   182
564,2017.677,172.000000,   172
565,2010.126,171.000000,   171
566,2002.595,172.000000,   172
567,1995.085,178.000000,   178
568,1987.596,170.000000,   170
569,1980.128,175.000000,   175
570,1972.681,174.000000,   174
571,1965.254,168.000000,   168
572,1957.848,171.000000,   171
573,1950.463,170.000000,   170
574,1943.099,172.000000,   172
575,1935.755,175.000000,   175
576,1928.432,172.000000,   172
577,1921.129,178.000000,   178
578,1913.847,174.000000,   174
579,1906.586,179.000000,   179
580,1899.345,173.000000,   173
581,1892.124,180.000000,   180
582,1884.924,172.000000,   172
