Pixel No,Average,L1
559,6680.000000,  6680
560,6807.000000,  6807
561,7017.000000,  7017
562,7142.000000,  7142
563,7306.000000,  7306
564,7405.000000,  7405
565,7513.000000,  7513
566,7574.000000,  7574
567,7666.000000,  7666
568,7801.000000,  7801
569,7883.000000,  7883
570,7995.000000,  7995
571,8063.000000,  8063
572,8197.000000,  8197
573,8189.000000,  8189
574,8273.000000,  8273
575,8404.000000,  8404
576,8473.000000,  8473
577,8486.000000,  8486
578,8522.000000,  8522
579,8504.000000,  8504
580,8562.000000,  8562
581,8535.000000,  8535
582,8591.000000,  8591
583,8592.000000,  8592
584,8627.000000,  8627
585,8528.000000,  8528
586,8554.000000,  8554
587,8581.000000,  8581
588,8603.000000,  8603
589,8634.000000,  8634
590,8631.000000,  8631
591,8698.000000,  8698
592,8714.000000,  8714
593,8769.000000,  8769
594,8809.000000,  8809
595,8849.000000,  8849
596,8928.000000,  8928
597,8964.000000,  8964
598,9039.000000,  9039
599,8991.000000,  8991
600,9026.000000,  9026
601,9161.000000,  9161
602,9188.000000,  9188
603,9225.000000,  9225
604,9307.000000,  9307
605,9331.000000,  9331
606,9383.000000,  9383
607,9496.000000,  9496
608,9574.000000,  9574
609,9575.000000,  9575
610,9685.000000,  9685
611,9703.000000,  9703
612,9767.000000,  9767
613,9765.000000,  9765
614,9803.000000,  9803
615,9916.000000,  9916
616,9950.000000,  9950
617,9965.000000,  9965
618,10039.000000, 10039
619,10002.000000, 10002
620,10082.000000, 10082
621,10043.000000, 10043
622,10059.000000, 10059
623,10115.000000, 10115
624,10105.000000, 10105
625,10073.000000, 10073
626,10143.000000, 10143
627,10138.000000, 10138
628,10185.000000, 10185
629,10207.000000, 10207
630,10270.000000, 10270
631,10289.000000, 10289
632,10273.000000, 10273
633,10313.000000, 10313
634,10372.000000, 10372
635,10357.000000, 10357
636,10378.000000, 10378
637,10380.000000, 10380
638,10444.000000, 10444
639,10483.000000, 10483
640,10507.000000, 10507
641,10527.000000, 10527
642,10568.000000, 10568
643,10547.000000, 10547
644,10586.000000, 10586
645,10541.000000, 10541
646,10574.000000, 10574
647,10550.000000, 10550
648,10744.000000, 10744
649,10716.000000, 10716
650,10748.000000, 10748
651,10670.000000, 10670
652,10736.000000, 10736
653,10772.000000, 10772
654,10766.000000, 10766
655,10799.000000, 10799
656,10848.000000, 10848
657,10886.000000, 10886
658,10891.000000, 10891
659,10877.000000, 10877
660,10925.000000, 10925
661,10900.000000, 10900
662,10907.000000, 10907
663,10957.000000, 10957
664,10977.000000, 10977
665,10978.000000, 10978
666,11014.000000, 11014
667,11033.000000, 11033
668,11064.000000, 11064
669,11100.000000, 11100
670,11142.000000, 11142
671,11110.000000, 11110
672,11159.000000, 11159
