Type:,WAVELENGH DATA FILE
Exposure Time:,10 m.Sec
Gain:,1
Offset:,10
Line Count:,1


Pixel No,WaveLength(nm),Average,L1
430,192543.100,713.000000,   713
431,193865.929,702.000000,   702
432,195194.806,700.000000,   700
433,196529.745,710.000000,   710
434,197870.759,711.000000,   711
435,199217.862,715.000000,   715
436,200571.069,723.000000,   723
437,201930.392,722.000000,   722
438,203295.846,716.000000,   716
439,204667.444,711.000000,   711
440,206045.200,711.000000,   711
441,207429.128,700.000000,   700
442,208819.242,710.000000,   710
443,210215.556,716.000000,   716
444,211618.083,701.000000,   701
445,213026.838,717.000000,   717
446,214441.833,717.000000,   717
447,215863.083,720.000000,   720
448,217290.602,719.000000,   719
449,218724.403,724.000000,   724
450,220164.500,720.000000,   720
451,221610.907,708.000000,   708
452,223063.638,715.000000,   715
453,224522.707,719.000000,   719
454,225988.127,714.000000,   714
455,227459.912,712.000000,   712
456,228938.077,711.000000,   711
457,230422.634,726.000000,   726
458,231913.598,703.000000,   703
459,233410.982,723.000000,   723
460,234914.800,719.000000,   719
461,236425.066,713.000000,   713
462,237941.794,705.000000,   705
463,239464.998,707.000000,   707
464,240994.691,729.000000,   729
465,242530.887,707.000000,   707
466,244073.601,712.000000,   712
467,245622.845,724.000000,   724
468,247178.634,723.000000,   723
469,248740.981,715.000000,   715
470,250309.900,720.000000,   720
471,251885.405,719.000000,   719
472,253467.510,724.000000,   724
473,255056.229,716.000000,   716
474,256651.575,718.000000,   718
475,258253.563,690.000000,   690
476,259862.205,710.000000,   710
477,261477.516,714.000000,   714
478,263099.510,713.000000,   713
479,264728.200,721.000000,   721
480,266363.600,705.000000,   705
481,268005.724,710.000000,   710
482,269654.586,702.000000,   702
483,271310.200,728.000000,   728
484,272972.579,726.000000,   726
485,274641.737,722.000000,   722
486,276317.689,716.000000,   716
487,278000.447,715.000000,   715
488,279690.026,723.000000,   723
489,281386.439,721.000000,   721
490,283089.700,724.000000,   724
491,284799.823,703.000000,   703
492,286516.822,718.000000,   718
493,288240.711,717.000000,   717
494,289971.503,705.000000,   705
495,291709.213,717.000000,   717
496,293453.853,713.000000,   713
497,295205.438,722.000000,   722
498,296963.982,714.000000,   714
499,298729.498,728.000000,   728
500,300502.000,720.000000,   720
501,302281.502,710.000000,   710
502,304068.018,720.000000,   720
503,305861.562,735.000000,   735
504,307662.147,728.000000,   728
505,309469.787,712.000000,   712
506,311284.497,721.000000,   721
507,313106.289,716.000000,   716
508,314935.178,730.000000,   730
509,316771.177,736.000000,   736
510,318614.300,721.000000,   721
511,320464.561,706.000000,   706
512,322321.974,727.000000,   727
513,324186.553,717.000000,   717
514,326058.311,712.000000,   712
515,327937.262,720.000000,   720
516,329823.421,727.000000,   727
517,331716.800,713.000000,   713
518,333617.414,709.000000,   709
519,335525.276,731.000000,   731
520,337440.400,731.000000,   731
521,339362.800,704.000000,   704
522,341292.490,709.000000,   709
523,343229.484,718.000000,   718
524,345173.795,712.000000,   712
525,347125.438,715.000000,   715
526,349084.425,717.000000,   717
527,351050.771,722.000000,   722
528,353024.490,706.000000,   706
529,355005.595,722.000000,   722
530,356994.100,732.000000,   732
531,358990.019,736.000000,   736
532,360993.366,723.000000,   723
533,363004.155,719.000000,   719
534,365022.399,721.000000,   721
535,367048.112,737.000000,   737
536,369081.309,724.000000,   724
537,371122.002,715.000000,   715
538,373170.206,715.000000,   715
539,375225.934,734.000000,   734
540,377289.200,724.000000,   724
541,379360.018,712.000000,   712
542,381438.402,728.000000,   728
543,383524.366,733.000000,   733
544,385617.923,722.000000,   722
545,387719.088,721.000000,   721
546,389827.873,713.000000,   713
547,391944.293,732.000000,   732
548,394068.362,725.000000,   725
549,396200.093,710.000000,   710
550,398339.500,709.000000,   709
551,400486.597,722.000000,   722
552,402641.398,719.000000,   719
553,404803.917,722.000000,   722
554,406974.167,724.000000,   724
555,409152.162,714.000000,   714
556,411337.917,722.000000,   722
557,413531.444,710.000000,   710
558,415732.758,724.000000,   724
559,417941.872,720.000000,   720
560,420158.800,716.000000,   716
561,422383.556,707.000000,   707
562,424616.154,728.000000,   728
563,426856.608,729.000000,   729
564,429104.931,731.000000,   731
565,431361.138,719.000000,   719
566,433625.241,714.000000,   714
567,435897.255,730.000000,   730
568,438177.194,736.000000,   736
569,440465.071,718.000000,   718
570,442760.900,735.000000,   735
571,445064.695,712.000000,   712
572,447376.470,718.000000,   718
573,449696.239,720.000000,   720
574,452024.015,716.000000,   716
575,454359.813,722.000000,   722
576,456703.645,719.000000,   719
577,459055.526,723.000000,   723
578,461415.470,721.000000,   721
579,463783.490,725.000000,   725
580,466159.600,732.000000,   732
581,468543.814,726.000000,   726
582,470936.146,715.000000,   715
583,473336.610,729.000000,   729
584,475745.219,731.000000,   731
585,478161.987,726.000000,   726
